Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen16perm39 1740.5588958110495241 1.69927814e+00 1.19340077e-02 3.95959333e-02 2.50446046e+00 2.11534619e+02 8.91109450e-02
gen16perm2 1743.5436293552290863 1.67086831e+00 1.13223484e-02 4.05904960e-02 2.18548782e-02 2.11534619e+02 9.06387107e-02
gen14perm34 1743.5629838756983645 1.67086831e+00 1.19340077e-02 4.05904960e-02 2.56262276e+00 1.94209130e+02 9.06387107e-02
gen16perm22 1745.0944020508002268 1.67086831e+00 1.24563133e-02 3.95959333e-02 5.70544009e+01 2.14227696e+02 8.91109450e-02
gen15perm50 1745.0966521796922279 1.67086831e+00 1.24563133e-02 3.95959333e-02 2.56262276e+00 2.11534619e+02 8.91109450e-02
gen15perm23 1745.2541170058077569 1.67086831e+00 1.13223484e-02 3.96454930e-02 2.18548782e-02 2.11534619e+02 8.91109450e-02
gen16perm8 1747.1331136195174167 1.67086831e+00 1.26124177e-02 3.90661761e-02 2.54952563e+00 2.27741302e+02 8.91109450e-02
gen16perm15 1747.9468977114256631 1.67086831e+00 1.19340077e-02 3.88937555e-02 2.56262276e+00 2.14227696e+02 8.76307735e-02
gen16perm50 1748.1464693815976261 1.67086831e+00 1.14062912e-02 3.89779017e-02 2.68237571e+00 2.30759620e+02 8.91109450e-02
gen14perm30 1748.1464711028249894 1.67086831e+00 1.14062912e-02 3.89779017e-02 2.68237571e+00 2.30759620e+02 8.91109450e-02
gen15perm32 1748.1466364350094409 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.25205996e-02 2.30759620e+02 8.91109450e-02
gen16perm28 1748.1474367893026738 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.27741302e+02 8.91109450e-02
gen15perm38 1748.1474902179072615 1.67086831e+00 1.16094318e-02 3.89779017e-02 2.56262276e+00 2.27396658e+02 8.91109450e-02
gen13perm40 1748.1475281211144193 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.56262276e+00 2.27396658e+02 8.91109450e-02
gen16perm35 1748.1475352959123484 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.27396658e+02 8.91109450e-02
gen15perm42 1748.1475352959123484 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.27396658e+02 8.91109450e-02
gen16perm34 1748.1475745016202836 1.67086831e+00 1.23595704e-02 3.89779017e-02 2.63314516e+00 2.27396658e+02 8.91109450e-02
gen14perm31 1748.1513637992518397 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.15363291e+02 8.91109450e-02
gen16perm16 1748.1513638930298384 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.15363291e+02 8.91109450e-02
gen16perm13 1748.1555169692865093 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.03714650e+02 8.91109450e-02
gen16perm45 1748.1579466738887731 1.67086831e+00 1.17657006e-02 3.89779017e-02 2.59232308e+00 1.97381883e+02 8.91109450e-02
gen14perm22 1748.1579707666803642 1.67086831e+00 1.17657006e-02 3.89779017e-02 2.50074856e+00 1.97381883e+02 8.91109450e-02
gen15perm43 1748.1579954830012866 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.50446046e+00 1.97381883e+02 8.91109450e-02
gen16perm40 1748.1580397676445955 1.67086831e+00 1.24563133e-02 3.89779017e-02 2.56262276e+00 1.97381883e+02 8.91109450e-02
gen14perm40 1748.3305201160749220 1.67086831e+00 1.24563133e-02 3.85680586e-02 2.56262276e+00 2.27396658e+02 8.72538936e-02
gen15perm46 1748.3401427616372530 1.67086831e+00 1.24563133e-02 3.85680586e-02 2.56262276e+00 2.14227696e+02 8.72538936e-02
gen16perm18 1748.4085078217801765 1.67086831e+00 1.27751488e-02 3.89779017e-02 2.50672745e+00 2.27396658e+02 8.91657947e-02
gen14perm49 1749.6212491742614930 1.71599483e+00 1.17657006e-02 3.89779017e-02 2.11126433e-02 2.11534619e+02 8.91109450e-02
gen16perm38 1749.6231800791731530 1.71601130e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.15363291e+02 8.91109450e-02
gen15perm45 1750.5338801402360787 1.67086831e+00 1.19340077e-02 3.82551071e-02 2.60460867e+00 2.23334415e+02 8.76307735e-02
gen15perm44 1750.5370345658566293 1.67086831e+00 1.17657006e-02 3.82551071e-02 2.56262276e+00 2.14227696e+02 8.76307735e-02
gen14perm42 1750.5370579476109469 1.67086831e+00 1.19340077e-02 3.82551071e-02 2.56262276e+00 2.14227696e+02 8.76307735e-02
gen16perm41 1750.5381484706358606 1.67086831e+00 1.19340077e-02 3.82551071e-02 2.60460867e+00 2.11315702e+02 8.76307735e-02
gen16perm33 1751.6088843577099396 1.63488411e+00 1.22296716e-02 3.89779017e-02 2.50074856e+00 2.15363291e+02 8.91109450e-02
gen16perm47 1751.7298111010622961 1.67086831e+00 1.17657006e-02 3.82551071e-02 2.60460867e+00 1.97381883e+02 8.78654680e-02
gen14perm18 1751.8262461450126466 1.63327123e+00 1.19340077e-02 3.89779017e-02 2.38982046e-02 2.27396658e+02 8.91657947e-02
gen16perm37 1751.9183625189862141 1.73428764e+00 1.17657006e-02 3.89779017e-02 2.11126433e-02 2.27490618e+02 8.91109450e-02
gen15perm4 1752.5636609074599619 1.64693701e+00 1.19340077e-02 3.82551071e-02 2.71506694e+00 2.14227696e+02 8.76307735e-02
gen15perm19 1753.7401052859056563 1.62284482e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.27741302e+02 8.91109450e-02
gen16perm27 1753.7653939619990524 1.62284482e+00 1.19340077e-02 3.89779017e-02 2.50446046e+00 1.97381883e+02 8.91109450e-02
gen15perm47 1754.1203068455606626 1.62095423e+00 1.19719299e-02 3.89779017e-02 2.68237571e+00 2.30759620e+02 8.91109450e-02
gen13perm9 1754.3251019862734665 1.63327123e+00 1.19340077e-02 3.86093433e-02 2.56262276e+00 2.27741302e+02 8.91109450e-02
gen16perm26 1754.3313565903608833 1.63327123e+00 1.16944385e-02 3.86093433e-02 2.56262276e+00 2.11534619e+02 8.91109450e-02
gen16perm30 1754.4864141611069499 1.67086831e+00 1.16944385e-02 4.04073780e-02 2.38982046e-02 2.27396658e+02 8.91415322e-02
gen15perm5 1754.5011071084093146 1.67086831e+00 1.19340077e-02 3.86093433e-02 2.56262276e+00 2.27741302e+02 8.91109450e-02
gen16perm21 1754.5012454889820219 1.67086831e+00 1.19719299e-02 3.86093433e-02 2.56262276e+00 2.24562379e+02 8.91109450e-02
gen15perm33 1754.5016093265908239 1.67086831e+00 1.19719299e-02 3.86093433e-02 5.70544009e+01 2.14227696e+02 8.91109450e-02
gen14perm26 1754.5016093265908239 1.67086831e+00 1.19719299e-02 3.86093433e-02 5.70544009e+01 2.14227696e+02 8.91109450e-02
gen14perm37 1754.5016144819810506 1.67086831e+00 1.20180583e-02 3.86093433e-02 5.70544009e+01 2.14227696e+02 8.91109450e-02
gen16perm11 1755.4275819025785950 1.67086831e+00 1.24563133e-02 3.85680586e-02 2.50074856e+00 2.20213302e+02 8.91109450e-02
