Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen16perm39 1740.5588958110495241 1.69927814e+00 1.19340077e-02 3.95959333e-02 2.50446046e+00 2.11534619e+02 8.91109450e-02
gen16perm2 1743.5436293552290863 1.67086831e+00 1.13223484e-02 4.05904960e-02 2.18548782e-02 2.11534619e+02 9.06387107e-02
gen16perm22 1745.0944020508002268 1.67086831e+00 1.24563133e-02 3.95959333e-02 5.70544009e+01 2.14227696e+02 8.91109450e-02
gen16perm8 1747.1331136195174167 1.67086831e+00 1.26124177e-02 3.90661761e-02 2.54952563e+00 2.27741302e+02 8.91109450e-02
gen16perm15 1747.9468977114256631 1.67086831e+00 1.19340077e-02 3.88937555e-02 2.56262276e+00 2.14227696e+02 8.76307735e-02
gen16perm50 1748.1464693815976261 1.67086831e+00 1.14062912e-02 3.89779017e-02 2.68237571e+00 2.30759620e+02 8.91109450e-02
gen16perm28 1748.1474367893026738 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.27741302e+02 8.91109450e-02
gen16perm35 1748.1475352959123484 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.27396658e+02 8.91109450e-02
gen16perm34 1748.1475745016202836 1.67086831e+00 1.23595704e-02 3.89779017e-02 2.63314516e+00 2.27396658e+02 8.91109450e-02
gen16perm16 1748.1513638930298384 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.15363291e+02 8.91109450e-02
gen16perm13 1748.1555169692865093 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.03714650e+02 8.91109450e-02
gen16perm45 1748.1579466738887731 1.67086831e+00 1.17657006e-02 3.89779017e-02 2.59232308e+00 1.97381883e+02 8.91109450e-02
gen16perm40 1748.1580397676445955 1.67086831e+00 1.24563133e-02 3.89779017e-02 2.56262276e+00 1.97381883e+02 8.91109450e-02
gen16perm18 1748.4085078217801765 1.67086831e+00 1.27751488e-02 3.89779017e-02 2.50672745e+00 2.27396658e+02 8.91657947e-02
gen16perm38 1749.6231800791731530 1.71601130e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.15363291e+02 8.91109450e-02
gen16perm41 1750.5381484706358606 1.67086831e+00 1.19340077e-02 3.82551071e-02 2.60460867e+00 2.11315702e+02 8.76307735e-02
gen16perm33 1751.6088843577099396 1.63488411e+00 1.22296716e-02 3.89779017e-02 2.50074856e+00 2.15363291e+02 8.91109450e-02
gen16perm47 1751.7298111010622961 1.67086831e+00 1.17657006e-02 3.82551071e-02 2.60460867e+00 1.97381883e+02 8.78654680e-02
gen16perm37 1751.9183625189862141 1.73428764e+00 1.17657006e-02 3.89779017e-02 2.11126433e-02 2.27490618e+02 8.91109450e-02
gen16perm27 1753.7653939619990524 1.62284482e+00 1.19340077e-02 3.89779017e-02 2.50446046e+00 1.97381883e+02 8.91109450e-02
gen16perm26 1754.3313565903608833 1.63327123e+00 1.16944385e-02 3.86093433e-02 2.56262276e+00 2.11534619e+02 8.91109450e-02
gen16perm30 1754.4864141611069499 1.67086831e+00 1.16944385e-02 4.04073780e-02 2.38982046e-02 2.27396658e+02 8.91415322e-02
gen16perm21 1754.5012454889820219 1.67086831e+00 1.19719299e-02 3.86093433e-02 2.56262276e+00 2.24562379e+02 8.91109450e-02
gen16perm11 1755.4275819025785950 1.67086831e+00 1.24563133e-02 3.85680586e-02 2.50074856e+00 2.20213302e+02 8.91109450e-02
gen16perm36 1755.4276078456734922 1.67086831e+00 1.24563133e-02 3.85680586e-02 2.50074856e+00 2.14227696e+02 8.91109450e-02
gen16perm32 1755.8686310460466302 1.63327123e+00 1.19340077e-02 3.96454930e-02 2.18548782e-02 2.17035895e+02 8.91109450e-02
gen16perm49 1755.8754039968325742 1.63327123e+00 1.17780179e-02 3.96454930e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen16perm14 1756.2299812647422641 1.61148866e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.27396658e+02 8.91109450e-02
gen16perm24 1756.4091711133610261 1.61148866e+00 1.16094318e-02 3.86093433e-02 2.13612994e-02 2.14227696e+02 8.91109450e-02
gen16perm17 1758.5166806630284100 1.63327123e+00 1.19340077e-02 3.85680586e-02 2.38982046e-02 2.27396658e+02 8.71553639e-02
gen16perm5 1759.5687457014134907 1.59890771e+00 1.20180583e-02 3.89779017e-02 2.50074856e+00 1.97381883e+02 8.91109450e-02
gen16perm3 1759.7831744533380061 1.61148866e+00 1.21456412e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen16perm44 1760.8445592899556686 1.64693701e+00 1.19340077e-02 3.82551071e-02 2.56262276e+00 2.27396658e+02 8.91109450e-02
gen16perm23 1763.8663917470485103 1.67086831e+00 1.20180583e-02 3.82551071e-02 5.70544009e+01 2.11534619e+02 8.91109450e-02
gen16perm12 1763.9497545771973819 1.77937577e+00 1.19340077e-02 4.24910197e-02 2.56262276e+00 2.27396658e+02 8.91109450e-02
gen16perm9 1764.1244863376539342 1.57360962e+00 1.21505507e-02 3.86093433e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen16perm43 1765.4598283116858966 1.67086831e+00 1.19340077e-02 3.99503083e-02 2.71506694e+00 2.14227696e+02 8.76307735e-02
gen16perm1 1766.5691372884843986 1.67086831e+00 1.19340077e-02 3.96454930e-02 2.56262276e+00 1.94209130e+02 9.24209376e-02
gen16perm46 1766.9219065795007282 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.27396658e+02 9.09512647e-02
gen16perm29 1778.5786173364820115 1.49325229e+00 1.19340077e-02 4.13423006e-02 2.56262276e+00 2.11534619e+02 9.53143146e-02
gen16perm10 1781.3093423196942240 1.61148866e+00 1.19340077e-02 3.89779017e-02 2.60563453e+00 2.27741302e+02 9.26993416e-02
gen16perm25 1788.2915419304708848 1.63327123e+00 1.24887826e-02 3.96454930e-02 2.38982046e-02 2.27741302e+02 8.70289527e-02
gen16perm19 1802.2236585690750417 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.25205996e-02 2.14962619e+02 8.42865787e-02
gen16perm4 1805.2966049896240293 1.51057469e+00 1.16094318e-02 3.61334278e-02 2.25205996e-02 1.97381883e+02 8.91109450e-02
gen16perm31 1826.2257634874049472 1.67086831e+00 1.13223484e-02 3.89779017e-02 2.38982046e-02 2.27396658e+02 8.34854078e-02
gen16perm6 1842.2782720290661018 1.67086831e+00 1.17657006e-02 3.86093433e-02 5.70544009e+01 2.14227696e+02 8.23766639e-02
gen16perm48 1845.2241143872595330 1.54186575e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.23334415e+02 9.67942859e-02
gen16perm7 1848.2633440126901405 1.67086831e+00 1.14062912e-02 3.86093433e-02 2.56262276e+00 2.30759620e+02 9.34620492e-02
gen16perm42 1905.4757526397547736 1.67086831e+00 1.17657006e-02 3.52714707e-02 2.56262276e+00 2.42366493e+02 8.76307735e-02
gen16perm20 1933.4255003152438803 1.67086831e+00 1.14062912e-02 3.56407000e-02 2.68237571e+00 2.39442695e+02 8.91109450e-02
