Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm27	2693185.56573651
perm22	2695757.46023387
perm6	2698110.36579576
perm17	2701275.71992244
perm25	2704887.35514293
perm19	2705100.621835
perm7	2705680.21656783
perm26	2706699.35111183
perm1	2706702.16385638
perm44	2707036.55289141
perm10	2707144.74473544
perm35	2707223.7234145
perm4	2707339.72275272
perm21	2707344.36367886
perm50	2707349.21108045
perm32	2707349.23477545
perm13	2707349.9571327
perm31	2707349.95844362
perm41	2707352.47252156
perm38	2708974.09289816
perm36	2709570.50937917
perm20	2709605.64196158
perm39	2709606.17094868
perm15	2709606.81211403
perm37	2709607.45191122
perm3	2709806.74557058
perm45	2710575.79181384
perm40	2714534.55726481
perm47	2715609.20041547
perm33	2718396.61716939
perm28	2718409.18264203
perm23	2719340.71717879
perm24	2726316.33847428
perm12	2737544.94961159
perm43	2743969.43475337
perm34	2751511.23361174
perm14	2757827.30553581
perm11	2764707.387167
perm5	2766640.02370156
perm9	2777539.47972245
perm2	2794305.60320833
perm16	2809682.25426363
perm8	2818442.80796467
perm49	2958744.85414037
perm42	2990946.46030511
perm48	3001558.81309089
perm29	3249391.03435137
perm18	3273688.76657491
perm30	3569443.68578002
perm46	3668946.9461834
